F0-Autocorrelação;F0-FFT;F1-FFT;F2-FFT;F3-FFT;F4-FFT;E0-FFT;E1-FFT;E2-FFT;E3-FFT;E4-FFT
113,8115;107;338;461;515;566;292,32003;188,55682;99,751597;63,268443;60,675591
114,35378;229;448;734;831;971;485,94087;130,89409;59,227873;36,633494;30,940837
123,87097;130;242;356;607;692;1394,521;572,0555;150,22993;122,29404;56,988199
111,04685;116;210;319;431;481;251,20462;143,6104;53,727197;34,271725;24,355125
109,09091;109;218;328;437;545;328,58826;260,07167;111,6895;68,383178;30,300104
126,81638;127;258;488;632;763;373,02384;347,1702;111,66407;64,111552;44,786854
129,38005;130;234;327;462;546;386,54296;195,11213;115,817;115,10012;98,45293
126,64908;132;249;421;475;598;573,16655;355,80453;88,948401;72,634637;53,959748
118,15385;119;212;352;425;631;787,71212;307,62105;161,31358;124,38698;84,316087
111,88811;111;222;442;562;754;560,71908;240,58231;167,60149;82,165005;56,925578
108,65874;113;213;338;428;541;617,63739;351,81554;149,49279;139,13846;62,237531
115,59302;116;233;318;430;517;548,345;226,04449;92,457706;66,38292;61,418094
115,10791;119;230;341;441;575;818,68459;391,40258;126,94459;68,647618;55,99333
110,98266;219;332;439;550;631;342,69992;128,47839;97,008218;57,390034;39,563082
100,62893;201;302;403;619;709;487,03599;190,42248;159,33813;62,767984;47,170045
118,2266;125;231;335;391;580;492,26562;349,07848;111,02173;65,835966;37,888096
109,52653;218;326;434;532;750;387,49199;145,86068;141,64026;32,660327;28,478937
111,69284;225;309;432;549;648;382,50114;84,942052;75,081946;53,218847;31,42888
108,84354;217;326;435;762;878;377,55326;127,27798;94,126297;52,787188;26,016043
112,41218;223;332;457;571;672;317,02074;68,083549;35,319618;30,388946;18,307073
126,64908;121;255;312;393;496;739,21965;198,48858;124,64581;115,20743;45,501506
116,15245;124;219;333;406;547;632,95084;383,12576;130,68204;86,285103;62,144353
107,20268;214;323;426;641;735;554,80262;193,26314;177,25958;116,35053;65,952995
116,93057;237;476;536;591;769;408,49241;174,06048;102,28313;60,82443;52,26181
118,15385;122;246;345;583;716;633,44357;214,5707;154,97337;86,828309;38,569106
122,68371;131;238;457;507;569;764,65785;269,14032;96,017834;61,14665;59,053077
124,11118;122;249;368;494;616;540,90592;166,54512;115,2383;56,399609;36,337501
120,83071;132;236;331;566;674;353,23131;223,95455;89,702663;55,197023;25,469668
106,54828;114;247;414;514;685;381,22001;191,90009;150,32697;61,016257;32,0409
117,86372;113;240;345;500;611;792,31823;287,50908;168,64632;114,21465;91,141491
103,22581;206;310;515;724;811;255,22329;75,687511;31,565842;18,969132;10,993592
110,91854;217;343;448;511;563;308,83569;120,52046;118,87452;57,4714;51,70841
119,62617;119;242;325;498;588;245,59956;227,34329;68,426156;48,185183;31,313388
112,01867;224;334;446;521;610;593,10464;261,77591;137,62355;56,572678;51,360852
119,03286;127;217;345;419;478;497,89322;245,72698;120,69405;67,738992;64,765719
117,86372;126;225;379;448;568;476,49424;258,86523;78,002543;48,682903;36,267294
95,522388;94;193;281;358;416;579,82328;391,5872;139,55;93,926056;88,049867
120,83071;242;348;471;727;851;376,52199;119,06064;89,13145;55,668399;39,441439
99,071207;105;196;297;498;588;493,92621;222,99285;174,07148;113,72051;51,615989
102,07337;103;207;310;383;483;403,54198;239,84119;123,91796;107,61981;83,154251
125,24462;103;239;308;394;658;351,5483;161,09083;76,795213;68,137768;55,759028
109,71429;102;216;443;505;615;471,8556;370,27513;134,32977;70,967926;37,729793
119,70075;127;240;368;451;606;904,46367;506,90883;186,05218;94,528454;93,748975
124,83745;125;252;377;627;728;706,83718;247,18737;109,77589;56,727874;34,627934
121,75016;119;222;272;332;390;377,25832;285,06736;124,67337;119,59415;77,24672
108,04727;106;215;321;435;543;486,541;181,51799;88,577403;80,333741;33,560276
106,31229;212;425;630;732;847;1153,2952;395,96085;110,20611;64,097498;36,736321
106,72596;212;311;423;588;769;535,06394;116,07066;99,871175;47,595136;36,586121
107,44264;212;342;421;517;629;452,09393;130,59356;78,98345;53,257729;42,323198
107,74411;111;207;350;455;566;442,41414;273,23914;88,314936;67,662067;50,413204
106,37119;212;325;430;534;626;604,49212;154,21285;84,877042;72,854658;51,641857
113,67673;113;228;477;539;608;463,74736;324,21165;145,66059;92,72224;50,890472
104,40457;209;301;409;519;744;768,83229;201,21795;126,10107;124,4152;85,88226
105,49451;106;211;316;527;633;921,02222;657,6279;273,69226;121,46157;91,41522
113,94659;119;225;281;366;535;342,39541;156,86026;63,537415;62,063035;51,112054
112,01867;99;228;341;430;508;379,62209;272,62753;116,88908;72,998782;50,05083
118,81188;120;243;353;470;589;716,84339;164,57805;79,504827;45,132269;31,89473
97,859327;97;192;477;575;676;541,4414;313,87681;99,542904;53,52167;31,355162
128;123;246;373;449;625;409,5044;145,37062;86,813245;70,895993;52,282919
117,43119;119;239;346;463;575;449,20421;239,0086;131,02153;88,392768;58,595316
109,09091;109;218;327;447;546;987,81717;641,41026;233,27375;111,99875;66,65705
27428,571;60;121;36038;36441;36670;6,5065536;5,6442069;5,1385757;3,7861897;2,9784621
51,295752;142;206;258;483;854;78,170296;72,262674;43,849118;20,849177;11,829503
109,71429;113;219;547;597;660;293,54655;155,32597;78,37332;28,04494;27,085208
124,35233;115;165;288;358;462;207,43628;94,45087;59,775922;37,990814;20,13918
121,44213;115;270;426;476;36139;36,851847;12,719398;6,6519569;4,6992876;4,6560582
31,909589;156;228;281;331;420;45,733133;28,82624;26,533664;14,33449;12,550573
99,32747;101;197;497;600;779;282,54584;136,84651;59,663342;35,140069;23,209838
106,72596;91;215;531;643;763;229,71412;214,50985;44,856659;26,321213;17,207813
121,82741;120;231;298;388;703;253,48944;104,2212;62,786521;53,187613;32,532133
113,67673;118;231;317;445;652;198,19225;83,104922;43,078771;29,315717;20,902257
114,14982;226;281;348;471;609;107,2392;23,86188;20,780879;17,695634;12,799023
74,708171;69;146;299;36107;36863;27,114605;20,103906;6,7150404;4,9359702;4,1091167
141,90687;139;268;321;424;557;238,48552;37,983459;23,91611;12,225113;9,9808791
92,485549;95;164;229;363;573;227,7479;116,4465;66,122613;46,149888;33,729188
122,52712;105;155;205;255;555;128,80768;99,561971;48,958709;36,675536;29,660641
111,17545;107;227;438;550;694;178,00099;116,36482;47,432956;33,008085;27,316618
115,10791;118;242;433;36055;36187;29,433397;7,9057373;6,654538;5,3961352;3,6819443
116,78832;117;238;451;577;692;204,71417;88,053271;30,818268;26,96637;17,790302
103,33692;98;148;35909;36082;36321;65,077914;11,277156;6,5960703;5,9179078;4,888241
125,4902;128;223;286;336;455;273,02643;107,04087;58,866993;45,812351;39,674238
55,732946;113;222;272;372;448;262,34589;148,29735;44,40636;36,959676;32,776103
125,81913;114;178;262;399;514;286,37495;126,41786;77,4647;69,029927;30,024634
113,94659;231;350;463;541;686;287,4699;112,72292;78,749822;26,361735;23,690144
118,81188;127;245;363;463;588;145,13474;106,94203;73,528741;73,016053;58,843635
106,96379;106;211;317;420;532;537,64047;359,5992;190,38575;52,938304;49,425482
127,23658;124;243;388;633;754;125,50322;36,430368;19,744569;16,62209;13,1737
131,23718;135;266;392;526;759;247,5973;56,343516;51,004503;31,92063;28,616031
116,08222;116;233;345;459;583;323,15451;227,03691;83,335542;61,113458;58,433367
121,36536;120;227;383;461;535;268,65326;77,470299;59,061384;46,519119;23,96518
50,632911;105;155;205;255;345;40,277252;33,417618;21,333655;18,043148;8,147776
102,83878;108;179;308;464;591;256,00823;64,951669;51,792352;27,914567;18,019689
126,06697;134;254;375;483;734;215,33967;90,767535;59,83139;47,747133;24,553967
96,048024;91;230;377;523;649;235,82997;101,1477;59,635645;24,347848;20,529474
62,135922;131;254;305;355;405;31,686587;28,30505;21,186708;15,615094;15,273655
105,66868;98;148;271;321;619;221,03358;77,721723;64,076199;61,214345;26,838988
128,9456;134;260;634;769;897;254,67127;98,583021;75,464732;30,921259;22,198765
113,54228;229;348;446;565;660;157,7371;69,984108;27,975565;26,669492;16,454788
116,8594;117;235;288;350;400;65,091892;24,995472;11,419797;11,234122;9,9311889
130,52345;124;174;298;35810;36064;28,21862;8,750977;7,8599555;5,6905561;4,1017644
111,36891;105;155;205;300;35687;37,45068;26,265407;13,096665;6,5374602;5,2417877
106,43016;98;148;198;248;302;33,727411;24,448353;18,855152;12,981724;10,781618
98,209719;109;159;209;259;309;26,4617;20,539678;14,864343;11,242004;8,1389724
98,360656;94;145;195;245;301;31,821712;24,753135;17,774765;9,5835571;9,0026855
122,44898;109;164;247;363;485;186,38984;115,42222;93,393494;75,781166;48,488314
129,99323;134;264;420;514;659;101,70431;39,24504;20,099565;17,419206;11,639594
122,21515;122;245;35416;35912;36118;21,39292;9,4844867;5,6773483;5,2886099;4,7113796
57,262153;110;232;304;460;570;187,69603;168,01706;99,088763;68,762585;63,025811
115,73237;109;191;381;432;513;316,97539;86,935256;80,818811;49,062066;39,101261
114,97006;113;223;273;35865;35920;23,632041;18,454491;4,6146799;3,9791728;3,7570422
136,6548;132;255;426;570;832;210,50659;73,310405;49,227216;35,765728;23,147488
122,44898;136;231;350;431;481;362,91111;142,09422;67,294067;53,5564;49,767871
132,68832;129;269;396;536;679;353,27283;215,84036;106,39938;55,852287;46,129455
127,91472;131;254;387;454;504;258,007;134,04496;100,28213;42,098632;35,182494
104,63215;102;152;35666;36232;36422;38,598241;5,2069093;4,9542435;4,784187;3,0666394
135,97734;122;296;428;35800;35862;20,585329;15,503476;7,2767181;5,0899927;4,6852422
136,75214;130;232;340;399;624;368,78413;151,19776;59,789946;49,591178;48,673797
124,67532;127;229;379;35701;35962;25,108344;12,447097;7,8734444;6,4302662;6,0233573
90,995261;92;142;232;35753;36169;30,401862;16,175501;6,8982281;5,5653178;4,5968961
109,46408;222;330;433;664;757;218,31973;109,28106;59,081896;39,404566;36,611406
114,90126;127;218;444;566;879;56,191919;39,865567;16,765547;11,833996;7,6855504
106,37119;102;216;316;430;536;194,05968;147,22484;67,729513;60,299103;23,646009
145,45455;146;261;324;473;586;121,40126;33,796726;33,664461;22,667811;17,939132
126,56559;119;233;359;523;601;116,2436;29,307044;17,698116;12,616851;8,4113146
106,78532;116;211;324;429;636;439,25987;342,46316;159,69721;102,23674;65,316055
115,03895;118;239;457;569;1012;101,87664;60,803933;45,724904;17,244206;10,027814
84,507042;79;129;185;235;36300;172,20725;37,859428;25,425202;9,9596733;4,8563558
121,21212;242;479;588;716;812;187,30831;62,47347;25,40159;17,781093;17,545125
118,7384;111;237;392;609;832;211,85444;146,1393;76,418333;46,160962;25,068352
112,2807;111;222;347;456;572;177,39435;82,551153;32,854302;29,160804;23,592673
105,90182;97;210;302;386;492;31,507627;24,360825;15,001774;8,817229;6,3856241
113,40815;111;226;333;437;502;333,52664;201,49242;119,78502;78,976716;43,49626
126,48221;123;247;302;421;618;46,761402;32,785977;10,633275;6,7861065;6,3219652
119,55168;127;245;336;455;35898;34,000144;17,92624;9,3079512;8,0175953;4,3748673
112,94118;103;225;445;567;780;267,11178;247,81557;106,92319;39,246023;32,961026
108,22999;109;219;434;762;973;174,38435;79,633044;18,993591;13,506706;6,4756546
130,43478;128;247;297;370;483;578,90695;161,38554;77,415586;70,945041;54,704378
106,19469;212;320;371;734;839;349,80341;121,93603;44,161498;31,261019;23,138082
160,401;136;335;385;35816;36047;23,699985;12,460215;6,0934719;5,6558703;4,1504521
111,43355;110;216;460;512;616;508,99907;83,5028;61,548207;40,18258;39,076474
155,08885;116;177;36061;36507;36628;8,9773294;7,0110288;4,9073607;3,8871322;3,1006935
105,84344;108;221;332;383;35916;34,331479;12,657436;10,316997;8,3202931;5,4936346
110,59908;220;447;650;778;923;118,50699;96,758077;33,241453;23,544442;12,367512
114,14982;241;342;557;36484;36992;22,461662;13,638588;6,869768;4,7149876;3,2600922
120,9068;118;235;367;481;36093;76,941799;26,57173;17,572567;7,875027;7,0107944
104,34783;206;417;524;630;736;103,56197;53,603758;41,480742;28,176524;15,696971
128,17089;131;217;366;509;599;265,70534;58,389645;53,068431;31,40649;19,510397
115,454;117;230;344;414;582;198,98459;126,51819;56,512513;37,363786;32,969766
110,28145;220;441;491;769;819;334,06689;126,63713;45,373225;38,205294;17,261732
106,96379;98;149;224;290;397;231,89509;159,38434;78,378246;67,360986;24,059881
111,88811;118;440;553;635;685;225,82044;82,189121;79,512027;31,558161;24,880201
112,74222;111;334;457;676;35579;151,20272;40,877318;22,538456;11,92496;6,3457229
59,831723;118;239;357;477;540;353,55515;333,39271;110,70334;92,110738;46,268721
117,79141;114;229;473;590;36198;37,12819;18,131483;13,876485;10,418315;6,2083995
136,26686;136;251;338;398;642;232,81953;40,814841;22,768471;13,15777;11,309869
128,9456;134;224;466;627;36138;47,295601;25,621411;11,966404;7,2181685;5,0934948
113,54228;229;330;450;538;680;238,57557;52,021073;42,498147;20,05552;20,01325
106,72596;212;320;423;539;628;354,81155;77,014178;52,403388;50,928613;23,493119
31,244915;152;254;314;371;452;182,217;141,11744;90,73416;90,553221;68,718396
117,1446;236;345;457;723;815;130,36434;64,817719;33,845035;23,366561;19,494917
99,32747;102;198;400;661;789;504,46183;308,55647;121,00652;44,39283;27,285018
110,53541;107;157;211;641;770;196,8666;47,526003;44,952159;14,42032;5,3871484
113,8115;124;221;442;544;654;301,21031;176,03661;52,24377;19,678689;17,903312
113,67673;117;210;324;446;557;235,10072;89,180757;86,07262;54,87307;51,619188
97,116844;96;180;382;473;668;66,294722;34,329757;13,185566;7,2556752;5,219704
115,10791;120;225;332;582;663;245,2924;154,55888;92,36657;75,142801;28,328759
115,454;119;198;578;694;1036;231,59067;110,63298;65,176979;15,868998;12,54743
103,67171;205;315;419;733;936;295,03935;103,54173;88,990409;26,002896;9,0219653
109,15293;219;327;538;870;989;472,59487;163,75498;36,308096;20,970071;13,46177
118,29945;95;145;277;348;597;132,56425;69,31034;63,772072;36,150141;27,767031
123,63168;126;239;507;693;743;345,72751;95,311031;63,479481;52,267503;26,497448
121,90476;123;234;305;369;492;205,95148;103,06561;47,261619;36,538699;23,428549
123,47267;129;244;375;517;774;520,12293;104,40074;87,108351;64,577108;35,57824
131,50685;118;267;406;509;634;62,459932;60,043272;25,907862;20,508922;13,308312
107,86517;113;173;235;406;507;381,50774;82,638126;63,454995;54,458312;37,92422
118,7384;128;213;359;710;786;324,29018;150,24298;109,99416;93,299022;46,024589
114,69534;230;347;454;806;913;497,06149;146,77792;44,885249;43,548609;21,785826
122,84069;245;414;471;521;651;543,7552;89,959963;75,529551;61,893647;50,892073
107,9258;217;288;399;555;662;284,01018;79,013051;60,517942;47,57807;40,722214
102,6738;207;305;464;524;620;396,56868;116,38393;44,892944;37,615489;21,343786
122,44898;122;241;361;426;564;165,56766;54,410915;50,987688;25,154148;24,574166
113,54228;116;224;338;400;502;416,79505;378,79567;143,29658;78,229592;65,009407
109,40171;101;151;341;35908;36268;14,139487;10,248879;10,13529;6,2238288;3,57424
116,08222;127;237;350;446;569;270,79273;116,49227;72,531415;65,553966;62,501618
112,87478;107;236;309;359;577;176,86158;129,09131;78,773031;44,554428;30,155951
125,98425;127;251;464;514;582;322,68362;161,6962;59,825283;46,722108;38,964857
109,77702;124;218;434;542;667;199,84219;148,81535;103,37817;70,432541;23,403109
112,21508;113;225;332;466;581;161,31498;149,68469;63,24064;47,822676;40,601567
110,09174;221;325;384;468;518;551,27176;122,18856;97,153213;73,713704;48,922347
102,83878;102;202;294;408;504;243,51468;88,036582;43,563975;42,568177;34,689213
113,94659;111;223;574;641;826;339,30306;121,00733;75,017119;44,892267;39,095281
98,159509;100;186;285;411;511;211,91599;74,111667;26,580411;14,986466;13,692716
116,01208;231;305;467;594;706;220,27191;65,720794;45,435359;27,593466;17,224829
117,00183;232;344;404;456;577;193,10681;54,917374;41,849457;34,042373;28,310254
101,47992;98;157;232;289;505;161,86401;84,012603;49,867978;18,824734;12,156367
129,20592;132;249;525;575;672;105,95184;74,810534;24,993591;9,625607;7,2989479
107,56303;108;225;325;534;640;207,59775;88,153911;54,96849;45,28979;29,240883
106,66667;99;212;329;442;638;108,04333;65,28379;35,446387;22,892922;17,413996
